Wall time,Step,Value
1573686171.215498,42,1971.6728515625
1573686175.881267,167,1903.6270751953125
1573686178.204545,229,1860.405517578125
1573686187.374865,474,1813.32421875
1573686189.698331,536,1820.4041748046875
1573686191.303991,579,1855.01318359375
1573686191.56553,586,1837.42822265625
1573686193.864741,647,1829.8446044921875
1573686196.328717,714,1844.431640625
1573686199.793242,808,1825.150634765625
1573686207.423975,1014,1836.2451171875
1573686219.126951,1333,1830.426025390625
1573686221.05929,1385,1815.02880859375
1573686222.97587,1436,1822.8369140625
1573686234.18062,1734,1806.2457275390625
1573686234.299025,1737,1815.0445556640625
1573686239.548138,1877,1818.16943359375
1573686255.302268,2307,1806.979248046875
1573686258.389055,2389,1822.45703125
1573686262.041654,2485,1822.40625
1573686262.078338,2486,1786.5206298828125
1573686269.442026,2685,1796.5025634765625
1573686289.493485,3230,1802.9599609375
1573686290.072582,3246,1794.734375
1573686292.21431,3305,1807.653076171875
1573686303.730493,3618,1831.4130859375
1573686303.802991,3620,1822.884033203125
1573686329.531167,4317,1812.562744140625
1573686332.557137,4400,1801.80419921875
1573686335.946343,4492,1828.291748046875
1573686336.56153,4509,1818.579833984375
1573686353.549676,4971,1808.87158203125
1573686359.489899,5134,1809.558837890625
1573686367.241458,5345,1804.921630859375
1573686381.196761,5723,1814.98193359375
1573686387.950684,5907,1833.3515625
1573686391.013506,5990,1790.70068359375
1573686398.846537,6200,1827.7493896484375
1573686417.470912,6699,1801.7308349609375
1573686417.917833,6711,1803.527099609375
1573686423.094849,6854,1817.0972900390625
1573686427.221716,6966,1822.5595703125
1573686434.205432,7155,1824.08837890625
1573686445.45906,7460,1818.810546875
1573686445.567422,7463,1819.9273681640625
1573686457.933202,7798,1817.0113525390625
1573686459.221955,7833,1813.3905029296875
1573686467.724186,8066,1815.17626953125
1573686471.977706,8180,1834.672607421875
1573686473.515772,8221,1801.056884765625
1573686483.891231,8498,1805.978759765625
1573686484.253815,8508,1815.42919921875
1573686497.983259,8878,1816.6029052734375
1573686500.059686,8935,1809.802734375
1573686511.890067,9260,1807.759033203125
1573686519.580047,9468,1798.3028564453125
1573686522.753106,9554,1816.1199951171875
1573686527.986198,9698,1810.2337646484375
1573686553.889644,10399,1815.020751953125
1573686556.787638,10479,1810.88623046875
1573686558.360091,10522,1823.681396484375
1573686572.540987,10905,1806.544189453125
1573686574.765111,10966,1837.732421875
1573686576.795243,11020,1809.923583984375
1573686595.906858,11532,1805.950927734375
1573686597.151368,11566,1785.0816650390625
1573686601.524564,11685,1803.4827880859375
1573686612.015617,11969,1786.3470458984375
1573686612.199505,11974,1813.0478515625
1573686619.14296,12164,1795.028076171875
1573686623.820073,12290,1805.1741943359375
1573686645.245681,12877,1813.3099365234375
1573686651.022873,13034,1811.40869140625
1573686652.040785,13061,1826.3277587890625
1573686671.784212,13597,1771.2950439453125
1573686672.631893,13620,1773.9425048828125
1573686697.334775,14294,1812.3280029296875
1573686711.070296,14668,1826.0048828125
1573686715.294188,14779,1810.072509765625
1573686718.791808,14873,1798.73876953125
1573686740.835316,15473,1781.9185791015625
1573686751.623903,15764,1809.9290771484375
1573686764.732533,16116,1791.237548828125
1573686791.801654,16857,1807.506591796875
1573686799.565402,17066,1803.9114990234375
1573686800.709876,17097,1815.28173828125
1573686808.740171,17317,1801.4774169921875
1573686809.534939,17339,1831.1129150390625
1573686817.078242,17543,1805.0684814453125
1573686817.575359,17557,1785.473388671875
1573686850.617683,18451,1799.747802734375
1573686877.218468,19169,1835.8721923828125
1573686890.575562,19531,1825.49755859375
1573686894.625343,19640,1781.874755859375
1573686897.947277,19731,1796.906005859375
1573686907.607172,19995,1788.7655029296875
1573686909.719325,20053,1780.08447265625
1573686910.057599,20062,1795.9415283203125
1573686916.834615,20244,1825.0819091796875
1573686917.140198,20252,1832.405029296875
1573686919.760092,20323,1795.406005859375
1573686924.116423,20440,1812.372314453125
1573686927.795999,20539,1817.5408935546875
1573686929.244787,20578,1819.2110595703125
1573686936.610246,20779,1785.0909423828125
1573686936.717348,20782,1824.446533203125
1573686939.353881,20855,1803.9122314453125
1573686947.639927,21080,1824.8974609375
1573686950.024769,21144,1784.812744140625
1573686953.348041,21232,1794.02490234375
1573686956.552791,21319,1778.18017578125
1573686975.971596,21848,1793.744873046875
1573686990.771445,22245,1821.843017578125
1573686994.001741,22330,1794.8380126953125
1573686995.065852,22358,1808.9833984375
1573687023.826863,23138,1794.90966796875
1573687024.196554,23148,1811.99365234375
1573687025.838932,23192,1828.9447021484375
1573687029.317063,23286,1802.012451171875
1573687032.159916,23361,1826.216064453125
1573687034.66798,23427,1814.44482421875
1573687038.907465,23540,1814.994873046875
1573687043.639596,23670,1818.141357421875
1573687044.75157,23701,1817.843505859375
1573687061.497186,24147,1791.2413330078125
1573687066.517247,24282,1815.6036376953125
1573687066.589586,24284,1791.11572265625
1573687068.000794,24322,1801.47509765625
1573687079.001704,24621,1813.4210205078125
1573687082.863935,24727,1845.373046875
1573687090.399042,24934,1822.122314453125
1573687102.083133,25253,1756.5322265625
1573687107.173661,25391,1813.9837646484375
1573687122.585665,25812,1795.07763671875
1573687123.834121,25847,1818.0047607421875
1573687126.535401,25921,1826.7344970703125
1573687140.692886,26303,1819.939453125
1573687158.917543,26797,1793.703369140625
1573687158.954833,26798,1817.3096923828125
1573687172.084472,27154,1788.681396484375
1573687184.945265,27505,1799.896240234375
1573687188.630575,27603,1812.5615234375
1573687189.916809,27638,1798.8377685546875
1573687196.841589,27825,1808.17626953125
1573687200.126889,27916,1824.534423828125
1573687219.388305,28438,1809.225341796875
1573687223.274514,28543,1803.6158447265625
1573687238.918205,28970,1820.544677734375
1573687239.876307,28996,1803.971923828125
1573687242.33181,29062,1795.2896728515625
1573687247.45036,29201,1802.777099609375
1573687249.715363,29263,1820.6126708984375
1573687257.338509,29471,1810.7900390625
1573687262.573142,29611,1832.7867431640625
1573687270.663884,29829,1826.774658203125
1573687277.069939,30005,1807.7178955078125
1573687278.011537,30031,1827.745849609375
1573687283.276815,30174,1789.4122314453125
1573687288.965983,30327,1810.1873779296875
1573687294.150276,30470,1789.918701171875
1573687299.514811,30612,1797.0791015625
1573687303.061137,30706,1834.604736328125
1573687303.584187,30720,1804.478271484375
1573687328.991538,31406,1805.0841064453125
1573687330.348424,31443,1810.080322265625
1573687346.618981,31880,1810.198486328125
1573687348.682812,31936,1817.2435302734375
1573687358.797481,32207,1797.1744384765625
1573687367.117323,32435,1811.457275390625
1573687371.033054,32542,1819.50537109375
1573687375.214285,32657,1803.860107421875
1573687379.059855,32762,1809.0904541015625
1573687383.996733,32894,1816.9212646484375
1573687384.29604,32902,1834.919921875
1573687389.241159,33034,1809.87060546875
1573687394.70049,33181,1832.6820068359375
1573687401.790359,33375,1830.335205078125
1573687402.822104,33403,1820.3294677734375
1573687415.237767,33737,1793.631103515625
1573687415.678457,33749,1794.236083984375
1573687417.015624,33785,1816.086669921875
1573687419.035391,33839,1834.017822265625
1573687420.429362,33876,1805.592529296875
1573687421.786576,33913,1800.924072265625
1573687426.340463,34036,1804.269287109375
1573687438.221542,34362,1787.47412109375
1573687444.216746,34525,1787.010986328125
1573687446.960307,34599,1801.7296142578125
1573687474.253539,35333,1813.0374755859375
1573687475.015984,35354,1827.3594970703125
1573687479.715102,35483,1792.4638671875
1573687490.205544,35771,1817.16748046875
1573687496.866899,35953,1823.6656494140625
1573687499.930561,36037,1800.9151611328125
1573687521.721464,36629,1811.9324951171875
1573687522.852634,36659,1810.929443359375
1573687526.785518,36767,1815.3875732421875
1573687529.800426,36850,1815.2637939453125
1573687542.848001,37202,1830.1773681640625
1573687553.510946,37489,1808.078857421875
1573687563.586022,37764,1818.282470703125
1573687567.703196,37876,1803.7535400390625
1573687588.933584,38455,1820.904052734375
1573687598.810298,38720,1819.908203125
1573687603.19181,38840,1834.6064453125
1573687608.379477,38981,1820.1402587890625
1573687619.962001,39296,1779.900146484375
1573687634.970305,39702,1829.164306640625
1573687642.490824,39909,1802.9942626953125
1573687646.552186,40020,1792.0672607421875
1573687656.696782,40296,1827.2825927734375
1573687664.156079,40500,1792.3935546875
1573687670.262378,40667,1790.373291015625
1573687672.229389,40720,1797.463134765625
1573687674.879954,40793,1790.8583984375
1573687683.907827,41040,1809.52392578125
1573687692.303453,41271,1824.0673828125
1573687694.878036,41341,1802.3602294921875
1573687702.124619,41539,1796.513671875
1573687723.949856,42134,1797.659912109375
1573687735.279267,42450,1787.853759765625
1573687735.934016,42468,1805.02294921875
