Wall time,Step,Value
1573683012.39619,42,0.00012453985982574522
1573683027.602545,167,0.00016841996693983674
1573683035.211219,229,0.00022191497555468231
1573683065.413967,474,0.0003661029040813446
1573683073.0967,536,0.0004840957117266953
1573683078.392063,579,0.0005852155154570937
1573683079.255521,586,0.0005082302959635854
1573683086.80596,647,0.0003867236082442105
1573683095.063074,714,0.00017732303240336478
1573683106.650126,808,1.0938572813756764e-05
1573683132.0965,1014,0.00036446083686314523
1573683171.498667,1333,0.0013191476464271545
1573683177.946996,1385,0.0019041429040953517
1573683184.228283,1436,0.0037267026491463184
1573683220.990038,1734,0.001131436787545681
1573683221.358405,1737,0.0020855439361184835
1573683238.6553,1877,-0.0005931458435952663
1573683291.670841,2307,-0.002302265726029873
1573683301.824091,2389,-0.0005570262437686324
1573683313.705467,2485,-0.00020744340145029128
1573683313.82978,2486,-0.00018079497385770082
1573683338.404279,2685,-0.0013221419649198651
1573683405.690708,3230,-0.002105351537466049
1573683407.660514,3246,-0.0030991947278380394
1573683414.932999,3305,-0.0028956797905266285
1573683453.581397,3618,-0.0025777453556656837
1573683453.828533,3620,-0.0027478160336613655
1573683539.968929,4317,-0.00595434196293354
1573683550.211621,4400,-0.0038485517725348473
1573683561.60392,4492,-0.005468334071338177
1573683563.695408,4509,-0.004534069914370775
1573683620.812772,4971,-0.0068334005773067474
1573683640.91153,5134,-0.005695629864931107
1573683666.967717,5345,-0.006486221682280302
1573683713.659818,5723,-0.0069280206225812435
1573683736.398292,5907,-0.008836844936013222
1573683746.676832,5990,-0.008454499766230583
1573683772.625754,6200,-0.0063580675050616264
1573683834.236192,6699,-0.011219918727874756
1573683835.715963,6711,-0.010766642168164253
1573683853.383197,6854,-0.01171502098441124
1573683867.242052,6966,-0.01318749412894249
1573683890.558684,7155,-0.011703358963131905
1573683928.269867,7460,-0.013930835761129856
1573683928.640813,7463,-0.013461786322295666
1573683970.118523,7798,-0.013605413027107716
1573683974.434877,7833,-0.01485159620642662
1573684003.232406,8066,-0.014926384203135967
1573684017.35177,8180,-0.015295853838324547
1573684022.414903,8221,-0.01464499719440937
1573684056.664293,8498,-0.01623549684882164
1573684057.899574,8508,-0.015062794089317322
1573684103.713448,8878,-0.01569528505206108
1573684110.748639,8935,-0.016024189069867134
1573684150.934917,9260,-0.018305137753486633
1573684176.660701,9468,-0.018549032509326935
1573684187.313942,9554,-0.019531110301613808
1573684205.135993,9698,-0.01864773780107498
1573684291.887817,10399,-0.020941730588674545
1573684301.771496,10479,-0.025312207639217377
1573684307.087241,10522,-0.026057744398713112
1573684354.48098,10905,-0.02121558040380478
1573684362.02622,10966,-0.02199101261794567
1573684368.743454,11020,-0.02723449468612671
1573684432.106825,11532,-0.02654169127345085
1573684436.305762,11566,-0.027508705854415894
1573684451.043623,11685,-0.025999341160058975
1573684486.175535,11969,-0.026431959122419357
1573684486.792037,11974,-0.0257696695625782
1573684510.309236,12164,-0.02838333323597908
1573684525.917893,12290,-0.02679232507944107
1573684598.538543,12877,-0.030866239219903946
1573684617.981485,13034,-0.027705129235982895
1573684621.320144,13061,-0.028157999739050865
1573684687.648034,13597,-0.03172433748841286
1573684690.488469,13620,-0.03290940076112747
1573684773.857551,14294,-0.027356604114174843
1573684820.184524,14668,-0.030596356838941574
1573684833.89957,14779,-0.0339684896171093
1573684845.510705,14873,-0.03300128132104874
1573684919.79609,15473,-0.03226231783628464
1573684955.816262,15764,-0.036252908408641815
1573684999.403508,16116,-0.03659523278474808
1573685091.111676,16857,-0.03428991138935089
1573685116.986633,17066,-0.036822400987148285
1573685120.857402,17097,-0.0356614775955677
1573685148.091664,17317,-0.0373135581612587
1573685150.812592,17339,-0.03649934381246567
1573685176.067406,17543,-0.03449653834104538
1573685177.796538,17557,-0.034123193472623825
1573685288.443234,18451,-0.03842901065945625
1573685377.378033,19169,-0.037991225719451904
1573685422.242247,19531,-0.03578253835439682
1573685435.735375,19640,-0.037770409137010574
1573685446.979229,19731,-0.037314265966415405
1573685479.684991,19995,-0.03834057226777077
1573685486.848585,20053,-0.03630000725388527
1573685487.961762,20062,-0.03813690319657326
1573685510.498823,20244,-0.0361531637609005
1573685511.487465,20252,-0.03873848915100098
1573685520.259914,20323,-0.039941057562828064
1573685534.722559,20440,-0.03997620940208435
1573685546.991869,20539,-0.04019993171095848
1573685551.818847,20578,-0.0395004004240036
1573685576.72343,20779,-0.03819328919053078
1573685577.094507,20782,-0.03854041174054146
1573685586.114632,20855,-0.039208050817251205
1573685613.97367,21080,-0.04038572683930397
1573685621.885763,21144,-0.0389234833419323
1573685632.804283,21232,-0.04009903967380524
1573685643.556255,21319,-0.04127449914813042
1573685709.058063,21848,-0.04230636730790138
1573685758.210178,22245,-0.041988614946603775
1573685768.766424,22330,-0.041030801832675934
1573685772.226498,22358,-0.04169507324695587
1573685868.831941,23138,-0.04349541291594505
1573685870.067446,23148,-0.04371899738907814
1573685875.510699,23192,-0.04315244406461716
1573685887.181257,23286,-0.04387340694665909
1573685896.484818,23361,-0.04389068856835365
1573685904.640841,23427,-0.04435710236430168
1573685918.644586,23540,-0.044825389981269836
1573685934.760701,23670,-0.043748676776885986
1573685938.594333,23701,-0.04466883838176727
1573685993.799506,24147,-0.044404126703739166
1573686010.532487,24282,-0.04520313814282417
1573686010.778884,24284,-0.045012328773736954
1573686015.472035,24322,-0.04631872475147247
1573686052.47046,24621,-0.044116053730249405
1573686065.611194,24727,-0.043572280555963516
1573686091.233554,24934,-0.04358377680182457
1573686130.692535,25253,-0.04510561004281044
1573686147.778545,25391,-0.04683614522218704
1573686199.880621,25812,-0.044881049543619156
1573686204.201707,25847,-0.04575582221150398
1573686213.343981,25921,-0.046178124845027924
1573686260.616653,26303,-0.04606325551867485
1573686321.798976,26797,-0.044621825218200684
1573686321.922693,26798,-0.044691696763038635
1573686366.03118,27154,-0.04498075693845749
1573686409.434244,27505,-0.04434734210371971
1573686421.577887,27603,-0.04329957440495491
1573686425.89765,27638,-0.04262913390994072
1573686449.0291,27825,-0.04385435953736305
1573686460.269964,27916,-0.04245920851826668
1573686524.839819,28438,-0.04472553730010986
1573686537.837481,28543,-0.043933216482400894
1573686590.594833,28970,-0.04279278218746185
1573686593.84583,28996,-0.04298796504735947
1573686601.992878,29062,-0.04283547401428223
1573686619.197423,29201,-0.04217696562409401
1573686626.900253,29263,-0.042875856161117554
1573686652.57948,29471,-0.043008141219615936
1573686669.905718,29611,-0.0427437350153923
1573686696.881191,29829,-0.04588799551129341
1573686718.664324,30005,-0.046341635286808014
1573686721.876495,30031,-0.04631257802248001
1573686739.531045,30174,-0.0477297380566597
1573686758.463942,30327,-0.04721179977059364
1573686776.164099,30470,-0.04555358737707138
1573686793.800365,30612,-0.04671517759561539
1573686805.4431,30706,-0.04686547815799713
