Wall time,Step,Value
1573525946.182764,42,0.0011767596006393433
1573525950.993711,167,-0.03799551725387573
1573525953.426069,229,-0.038156334310770035
1573525953.638139,234,-0.0383833572268486
1573525955.165749,273,-0.059146396815776825
1573525962.98716,474,-0.15226522088050842
1573525965.381563,536,-0.1549011468887329
1573525967.067539,579,-0.15583470463752747
1573525967.33863,586,-0.15512026846408844
1573525969.22533,634,-0.1570250540971756
1573525969.70217,647,-0.14913804829120636
1573525972.339147,714,-0.15479247272014618
1573525975.960815,808,-0.15887172520160675
1573525984.033704,1014,-0.14127042889595032
1573525996.459191,1333,-0.10696358233690262
1573525996.574436,1337,-0.11103977262973785
1573525998.461432,1385,-0.10612978786230087
1573525998.761904,1392,-0.10021951794624329
1573526000.435595,1436,-0.1031714454293251
1573526010.42149,1691,-0.086606964468956
1573526012.058418,1734,-0.07829270511865616
1573526012.178591,1737,-0.08817876875400543
1573526017.65661,1877,-0.06521829962730408
1573526019.207361,1917,-0.087663933634758
1573526023.849384,2036,-0.09028851985931396
1573526030.210449,2199,-0.0871984213590622
1573526034.419927,2307,-0.06622815132141113
1573526037.620074,2389,-0.07531331479549408
1573526041.321726,2485,-0.06229230761528015
1573526041.368515,2486,-0.0691157728433609
1573526041.860351,2498,-0.06434950232505798
1573526049.095555,2685,-0.07729589194059372
1573526062.875705,3038,-0.08304852992296219
1573526070.319809,3230,-0.060539864003658295
1573526070.981833,3246,-0.05682583525776863
1573526073.292252,3305,-0.08766987174749374
1573526085.441396,3618,-0.10229051113128662
1573526085.532361,3620,-0.09682821482419968
1573526087.476007,3670,-0.0439394973218441
1573526090.279745,3741,-0.07089967280626297
1573526093.107374,3814,-0.052710287272930145
1573526093.39179,3821,-0.08154672384262085
1573526098.614677,3956,-0.06051071360707283
1573526112.690327,4317,-0.05112666264176369
1573526115.933348,4400,-0.08889688551425934
1573526119.511628,4492,-0.05952359363436699
1573526120.152842,4509,-0.07594630122184753
1573526126.678192,4676,-0.06573456525802612
1573526131.077095,4788,-0.04558682441711426
1573526138.190573,4971,-0.049348361790180206
1573526144.517033,5134,-0.0695478618144989
1573526152.790013,5345,-0.06498557329177856
1573526153.314382,5359,-0.040042199194431305
1573526160.705828,5549,-0.04735111445188522
1573526167.519265,5723,-0.04579085856676102
1573526170.795126,5808,-0.09202523529529572
1573526173.021731,5864,-0.06911010295152664
1573526174.663195,5907,-0.09919477254152298
1573526177.893877,5990,-0.044159092009067535
1573526186.059885,6200,-0.08992213010787964
1573526186.78888,6219,-0.08902297914028168
1573526189.535977,6289,-0.09999705106019974
1573526200.634234,6574,-0.08842571079730988
1573526205.483018,6699,-0.0314636193215847
1573526205.953262,6711,-0.08290374279022217
1573526211.543698,6854,-0.03233973681926727
1573526215.881858,6966,-0.06785815209150314
1573526223.253306,7155,-0.07973922789096832
1573526232.112558,7382,-0.04449182003736496
1573526235.146925,7460,-0.07586594671010971
1573526235.251575,7463,-0.04669635742902756
1573526237.141013,7511,-0.06928636133670807
1573526248.289932,7798,-0.08000747114419937
1573526249.64919,7833,-0.07437408715486526
1573526255.81399,7991,-0.043963268399238586
1573526258.693625,8066,-0.046430423855781555
1573526263.165956,8180,-0.08011048287153244
1573526264.766829,8221,-0.09169981628656387
1573526270.275722,8363,-0.043770723044872284
1573526270.813226,8377,-0.05206020176410675
1573526275.518287,8498,-0.034215979278087616
1573526275.903102,8508,-0.0850222036242485
1573526279.535979,8601,-0.07948107272386551
1573526290.346654,8878,-0.05889572203159332
1573526292.526467,8935,-0.03544817119836807
1573526294.805517,8993,-0.027260011062026024
1573526305.201739,9260,-0.09720008820295334
1573526313.318669,9468,-0.07417052239179611
1573526316.658046,9554,-0.0142159853130579
1573526317.185371,9567,-0.1018698588013649
1573526322.266663,9698,-0.04245840758085251
1573526327.900869,9843,-0.04201015830039978
1573526330.422998,9907,-0.055637869983911514
1573526344.797387,10276,-0.011691469699144363
1573526345.082401,10283,-0.08106835186481476
1573526349.553496,10399,-0.07396287471055984
1573526352.700005,10479,-0.011937339790165424
1573526354.39689,10522,-0.01132725365459919
1573526357.671762,10607,-0.020257048308849335
1573526364.428803,10780,-0.014892205595970154
1573526369.210587,10902,-0.07998529821634293
1573526369.296929,10905,-0.04747753217816353
1573526371.654599,10966,-0.05750434100627899
1573526371.985623,10974,-0.1021132618188858
1573526373.817652,11020,-0.0661831647157669
1573526376.98346,11102,-0.08737663179636002
1573526389.35227,11419,-0.011416124179959297
1573526391.386979,11472,-0.08371176570653915
1573526393.725745,11532,-0.027598680928349495
1573526395.039318,11566,-0.08438137918710709
1573526399.664428,11685,-0.06655718386173248
1573526402.589074,11759,-0.035203102976083755
1573526410.766118,11969,-0.033102065324783325
1573526410.913223,11974,-0.09561731666326523
1573526418.307907,12164,-0.039703186601400375
1573526423.252882,12290,-0.08476107567548752
1573526438.069899,12671,-0.08054590225219727
1573526446.121785,12877,-0.004749110899865627
1573526448.510023,12939,-0.06407123804092407
1573526452.213086,13034,-0.026035208255052567
1573526453.242803,13061,-0.08506617695093155
1573526466.546212,13402,-0.06158926710486412
1573526472.172114,13546,-0.06805507093667984
1573526474.155331,13597,-0.019980590790510178
1573526475.018393,13620,-0.0282784141600132
1573526482.458414,13810,-0.04364141821861267
1573526492.969765,14080,-0.012213348411023617
1573526498.482715,14221,-0.08729039877653122
1573526501.308465,14294,-0.0969461053609848
1573526503.000518,14338,-0.08325150609016418
1573526507.225724,14447,-0.06223422288894653
1573526514.702838,14638,-0.08236251771450043
1573526515.872619,14668,-0.03396957367658615
1573526516.602514,14687,-0.006237247958779335
1573526520.211853,14779,-0.009815559722483158
1573526521.373483,14809,-0.08911052346229553
1573526523.849894,14873,-0.07527411729097366
1573526524.59821,14892,-0.08811793476343155
1573526547.189447,15473,-0.0842352882027626
1573526548.500059,15507,-0.07192377001047134
1573526557.610987,15740,-0.06752988696098328
1573526558.506261,15764,-0.08677424490451813
1573526572.19237,16116,-0.00915492046624422
1573526577.387773,16249,-0.10071197897195816
1573526580.19801,16321,-0.07087059319019318
1573526599.142708,16809,-0.09479852020740509
1573526601.018892,16857,-0.08726806938648224
1573526609.158201,17066,-0.0033246437087655067
1573526610.358062,17097,-0.07341966778039932
1573526617.956556,17292,-0.07903861254453659
1573526618.90949,17317,-0.10395997017621994
1573526619.79096,17339,-0.07958977669477463
1573526627.696746,17543,-0.0591660775244236
1573526628.242264,17557,-0.006246086210012436
1573526629.374495,17586,-0.08805344253778458
1573526663.043281,18451,0.007821607403457165
1573526688.957923,19116,-0.05255958065390587
1573526690.983185,19169,-0.029804321005940437
1573526705.076459,19531,-0.08766809850931168
1573526709.32872,19640,0.0016246826853603125
1573526709.899641,19654,-0.09158306568861008
1573526712.847767,19731,-0.06411106139421463
1573526717.33612,19846,-0.08121582865715027
1573526723.1393,19995,-0.02841394767165184
1573526725.412348,20053,-0.014321021735668182
1573526725.769401,20062,-0.0726180300116539
1573526728.690403,20138,-0.061733175069093704
1573526732.824518,20244,-0.09484884142875671
1573526733.152993,20252,-0.02127283811569214
1573526735.91254,20323,-0.050167836248874664
1573526740.419293,20440,-0.016754677519202232
1573526744.281337,20539,-0.09052139520645142
1573526744.314652,20540,-0.09178122878074646
1573526745.777929,20578,-0.01953461766242981
1573526753.616668,20779,-0.05256197601556778
1573526753.754458,20782,-0.007432841695845127
1573526755.619984,20831,-0.011064551770687103
1573526756.584979,20855,-0.037944450974464417
1573526765.319119,21080,-0.015407616272568703
1573526767.832518,21144,-0.011183340102434158
1573526770.332979,21209,-0.022645410150289536
1573526771.274708,21232,-0.04654378071427345
