Wall time,Step,Value
1573537835.641243,42,0.00043369733612053096
1573537840.501726,167,-0.04027317091822624
1573537842.953031,229,-0.0569891482591629
1573537852.59114,474,-0.14385201036930084
1573537855.001123,536,-0.1525486260652542
1573537856.999525,586,-0.14926102757453918
1573537859.384124,647,-0.14299376308918
1573537873.826619,1014,-0.12209950387477875
1573537886.367051,1333,-0.08950980007648468
1573537888.44163,1385,-0.09381936490535736
1573537890.421234,1436,-0.07397305965423584
1573537902.243665,1737,-0.06452827900648117
1573537907.737858,1877,-0.03734801337122917
1573537924.594619,2307,-0.07714924961328506
1573537927.828566,2389,-0.06893514841794968
1573537931.626039,2486,-0.02423594333231449
1573537939.429387,2685,-0.0610971674323082
1573537961.450641,3246,-0.08970010280609131
1573537963.780532,3305,-0.0739469826221466
1573538003.514611,4317,-0.07284321635961533
1573538006.735444,4400,-0.06415069848299026
1573538010.357786,4492,-0.0565592423081398
1573538011.018965,4509,-0.05542980879545212
1573538029.209469,4971,-0.06886059045791626
1573538035.566665,5134,-0.0665990337729454
1573538043.870437,5345,-0.05863623321056366
1573538058.689776,5723,-0.0786857157945633
1573538065.966983,5907,-0.06447317451238632
1573538069.191915,5990,-0.015746358782052994
1573538077.425411,6200,-0.07362164556980133
1573538097.036893,6699,-0.04116269201040268
1573538097.509646,6711,-0.04902921989560127
1573538103.144289,6854,-0.095838263630867
1573538107.517238,6966,-0.02637307718396187
1573538114.938022,7155,-0.05346420779824257
1573538127.022402,7463,-0.005616835784167051
1573538140.203554,7798,-0.03062720037996769
1573538141.553153,7833,-0.023105254396796227
1573538150.723859,8066,0.00032940972596406937
1573538155.420789,8180,-0.06485665589570999
1573538157.183217,8221,-0.0029735758434981108
1573538169.022995,8498,-0.08613425493240356
1573538185.224278,8878,-0.05189548432826996
1573538187.64502,8935,-0.0796872079372406
1573538201.486525,9260,-0.0655636191368103
1573538210.360677,9468,-0.006370525807142258
1573538213.629892,9554,-0.02318013273179531
1573538219.688648,9698,-0.019330646842718124
1573538242.044615,10399,-0.06236948072910309
1573538244.445435,10479,0.023299330845475197
1573538245.751047,10522,-0.048659153282642365
1573538259.27901,10905,0.012066055089235306
1573538261.717247,10966,-0.021151892840862274
1573538263.80114,11020,-0.08287450671195984
1573538284.015369,11532,-0.07112766057252884
1573538285.30794,11566,-0.07309308648109436
1573538301.152885,11969,-0.06990877538919449
1573538301.356549,11974,-0.02908121608197689
1573538308.794956,12164,-0.029850240796804428
1573538313.728888,12290,-0.05198430269956589
1573538336.757847,12877,-0.013212079182267189
1573538342.954623,13034,0.02229715697467327
1573538344.011078,13061,0.023881468921899796
1573538365.946386,13620,0.005509102717041969
1573538392.52646,14294,-0.059228360652923584
1573538407.156596,14668,-0.015730682760477066
1573538411.522117,14779,-0.08148929476737976
1573538415.243432,14873,-0.00990423932671547
1573538438.7337,15473,-0.0809679925441742
1573538450.149593,15764,-0.05307070538401604
1573538463.956118,16116,-0.06599840521812439
1573538492.974626,16857,-0.008646518923342228
1573538501.154777,17066,-0.045682393014431
1573538502.361364,17097,-0.08027034997940063
1573538510.962183,17317,0.0031409873627126217
1573538519.811574,17543,-0.01785723678767681
1573538597.719861,19531,-0.07943012565374374
1573538601.987262,19640,-0.041011396795511246
1573538605.56201,19731,0.006079364102333784
1573538615.926351,19995,-0.019047554582357407
1573538618.213681,20053,-0.06006098538637161
1573538618.562373,20062,0.0035680434666574
1573538625.669352,20244,-0.05546896159648895
1573538628.775665,20323,-0.06561200320720673
1573538637.21981,20539,-0.01218567043542862
1573538638.738526,20578,-0.03740952908992767
1573538646.648635,20779,-0.02543528750538826
1573538646.751672,20782,0.016235917806625366
1573538649.617034,20855,-0.0017088943859562278
1573538658.455386,21080,-0.015864429995417595
1573538660.944618,21144,-0.011551717296242714
1573538667.814152,21319,-0.017940174788236618
1573538688.518937,21848,-0.05985177680850029
1573538704.068388,22245,0.02529260329902172
1573538707.399926,22330,-0.009859430603682995
1573538708.491064,22358,-0.05314335972070694
1573538739.061083,23138,-0.07574639469385147
1573538744.867826,23286,-0.004899642895907164
1573538747.749027,23361,-0.08849440515041351
1573538750.378092,23427,-0.0678560733795166
1573538759.850578,23670,0.018203653395175934
1573538761.081181,23701,-0.059392835944890976
1573538778.548343,24147,-0.053778547793626785
1573538783.819349,24282,-0.06967456638813019
1573538783.923263,24284,-0.0372280515730381
1573538785.382891,24322,-0.07646089047193527
1573538797.110574,24621,-0.06243732571601868
1573538801.240283,24727,-0.023095954209566116
1573538809.330445,24934,-0.09235413372516632
1573538821.813346,25253,-0.045235175639390945
1573538827.221291,25391,-0.021879175677895546
1573538843.701781,25812,-0.06367179751396179
1573538845.090397,25847,-0.04445595666766167
1573538847.938214,25921,-0.04831957817077637
1573538882.226879,26797,-0.08999817818403244
1573538882.282771,26798,-0.09196735918521881
1573538909.98303,27505,-0.026324648410081863
1573538913.805798,27603,-0.028047535568475723
1573538946.473979,28438,-0.08214715123176575
1573538950.5867,28543,-0.018525011837482452
1573538967.284346,28970,-0.056984711438417435
1573538968.313206,28996,-0.07127047330141068
1573538970.880638,29062,-0.088309645652771
1573538976.324022,29201,0.02724517695605755
1573538978.786719,29263,-0.02564537152647972
1573538986.933317,29471,-0.061941273510456085
1573539000.954677,29829,0.02461911179125309
1573539007.813289,30005,-0.03220706805586815
1573539008.837025,30031,-0.0006098143057897687
1573539014.418648,30174,-0.013453621417284012
1573539026.00363,30470,-0.04440072923898697
1573539031.576118,30612,-0.003525246400386095
1573539035.270723,30706,-0.017144400626420975
1573539035.788739,30720,-0.0651487410068512
1573539062.670137,31406,-0.03856939449906349
1573539064.142904,31443,0.008855537511408329
1573539081.23993,31880,-0.02189505286514759
1573539083.382486,31936,-0.06818587332963943
1573539102.962222,32435,-0.06590883433818817
1573539107.113456,32542,-0.002299026120454073
1573539111.660394,32657,-0.08591406792402267
1573539115.753523,32762,-0.003987658303231001
1573539120.946735,32894,-0.06614279001951218
1573539121.222916,32902,-0.023232324048876762
1573539126.424216,33034,-0.06622178107500076
1573539132.166023,33181,-0.007733087055385113
1573539139.755669,33375,-0.07448836416006088
1573539140.865686,33403,-0.0026699663139879704
1573539153.87947,33737,-0.07471225410699844
1573539154.355487,33749,0.00996321439743042
1573539155.773117,33785,-0.08481058478355408
1573539157.882791,33839,0.003115661907941103
1573539159.327878,33876,-0.011421650648117065
1573539160.799368,33913,0.005002724472433329
1573539165.576988,34036,-0.08456265181303024
1573539178.351476,34362,-0.012998429127037525
1573539184.724215,34525,-0.03891977295279503
