Wall time,Step,Value
1573556031.612132,42,0.0014332580612972379
1573556035.10971,167,-0.027571778744459152
1573556036.860678,229,-0.023988287895917892
1573556037.001081,234,-0.027227986603975296
1573556038.093522,273,-0.06171376630663872
1573556043.747044,474,-0.15072372555732727
1573556045.488005,536,-0.1539103239774704
1573556046.705887,579,-0.1555708795785904
1573556046.902295,586,-0.1574479043483734
1573556048.247918,634,-0.1472802460193634
1573556048.612534,647,-0.15898720920085907
1573556050.494924,714,-0.14747369289398193
1573556053.144639,808,-0.14829176664352417
1573556058.934186,1014,-0.13304226100444794
1573556067.908556,1333,-0.12284976243972778
1573556068.020659,1337,-0.12020216882228851
1573556069.373436,1385,-0.11281260848045349
1573556069.569672,1392,-0.11796682327985764
1573556070.805297,1436,-0.10484807938337326
1573556077.98493,1691,-0.11498025059700012
1573556079.192528,1734,-0.10115707665681839
1573556079.276511,1737,-0.10024143010377884
1573556083.220697,1877,-0.1084725558757782
1573556084.343565,1917,-0.1116056889295578
1573556087.695066,2036,-0.09666620194911957
1573556092.270497,2199,-0.0842389464378357
1573556095.308081,2307,-0.10153840482234955
1573556097.618886,2389,-0.07998080551624298
1573556100.313714,2485,-0.07291199266910553
1573556100.341632,2486,-0.07755225151777267
1573556100.678294,2498,-0.09167242050170898
1573556105.928125,2685,-0.06990300863981247
1573556115.8463,3038,-0.09109976887702942
1573556121.248969,3230,-0.0672701746225357
1573556121.696541,3246,-0.0742165744304657
1573556123.360402,3305,-0.06813351809978485
1573556132.15832,3618,-0.06709618866443634
1573556132.214588,3620,-0.07292525470256805
1573556133.615864,3670,-0.0744125172495842
1573556135.613087,3741,-0.06728003174066544
1573556137.660153,3814,-0.08931033313274384
1573556137.856569,3821,-0.07448253780603409
1573556141.650037,3956,-0.0678173154592514
1573556151.772946,4317,-0.0719388872385025
1573556154.09702,4400,-0.08802136778831482
1573556156.688613,4492,-0.04903364181518555
1573556157.163423,4509,-0.08423806726932526
1573556161.872948,4676,-0.07845229655504227
1573556165.018834,4788,-0.07761508226394653
1573556170.152772,4971,-0.0999290943145752
1573556174.724445,5134,-0.07623037695884705
1573556180.660362,5345,-0.08024858683347702
1573556181.053118,5359,-0.0838213860988617
1573556186.388724,5549,-0.07699328660964966
1573556191.27385,5723,-0.08826097846031189
1573556193.656671,5808,-0.07099849730730057
1573556195.23622,5864,-0.07071825116872787
1573556196.444548,5907,-0.07329315692186356
1573556198.769884,5990,-0.06947352737188339
1573556204.671157,6200,-0.058513130992650986
1573556205.203808,6219,-0.054628610610961914
1573556207.179568,6289,-0.060237277299165726
1573556215.175342,6574,-0.06573344022035599
1573556218.692112,6699,-0.06593142449855804
1573556219.028968,6711,-0.052313968539237976
1573556223.052538,6854,-0.08295780420303345
1573556226.203404,6966,-0.07262785732746124
1573556231.513473,7155,-0.05663146823644638
1573556237.883733,7382,-0.058035362511873245
1573556240.069303,7460,-0.05969737470149994
1573556240.153374,7463,-0.0822475329041481
1573556241.512374,7511,-0.09429581463336945
1573556249.568427,7798,-0.0748460441827774
1573556250.548214,7833,-0.07009166479110718
1573556254.985958,7991,-0.054614149034023285
1573556257.099256,8066,-0.07924552261829376
1573556260.292928,8180,-0.04994804039597511
1573556261.44533,8221,-0.028433384373784065
1573556265.43095,8363,-0.047767892479896545
1573556265.822628,8377,-0.042108386754989624
1573556269.211164,8498,-0.035097215324640274
1573556269.490882,8508,-0.08164207637310028
1573556272.100367,8601,-0.040203895419836044
1573556279.878506,8878,-0.03467800095677376
1573556281.479231,8935,-0.04250824451446533
